%'depth(m)'   'Vp(km/s)'   'Vs(km/s)'	 'rho(gm/cc)'	'GR'	    'nphi' 
   2232.7087      2.6831      1.2331      2.1502     75.0723       .3097
   2232.8611      2.6350      1.2331      2.1422     73.0302       .3201
   2233.0137      2.5190      1.1565      2.1592     75.0622       .3500
   2233.1660      2.4887       .9592      2.1776     72.1866       .3656
   2233.3184      2.4048       .9595      2.1799     74.5708       .3667
   2233.4707      2.3454       .9425      2.1793     78.2414       .3395
   2233.6233      2.2756       .9298      2.1769     84.5056       .3438
   2233.7756      2.2855       .9311      2.0984     88.2220       .3570
   2233.9280      2.3527      1.0867      2.0263     88.5648       .4333
 
